Scheme Name,Ministries/Departments,Description & Benefits,Tags
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)",Kerala,"The scheme “Financial Assistance to Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)” was launched by the Department of Social Justice, Government of Kerala.","APL, BPL, Disabled, Financial Assistance, PwD, Student"
ICMR- Post Doctoral Fellowship,Ministry Of Health & Family Welfare,"ICMR- Post Doctoral Fellowship (ICMR-PDF) Scheme is being instituted to foster high-quality research opportunities for promising fresh Ph.D./MD/MS holders in the areas of basic science, communicable and non-communicable diseases, & reproductive health including nutrition at ICMR Institutes/Centers.","Fellowship, ICMR, PDF, Post Doctoral, Research"
Tool Kit Grant for Traditional Handicrafts Experts,Kerala,The “Tool Kit Grant for Traditional Handicrafts Experts” scheme is launched for the purpose for improving the productivity and competitiveness of the traditional OBC craftsmen ensuring quality goods for enhanced income and thereby qualitative improvement in their living conditions.,"Craftsman, Grant, Handicrafts, OBC, Self-employment, Stipend, Tool Kit, Training"
Snehasanthwanam,Kerala,The Government of Kerala has launched the “Snehasanthwanam” scheme under the Kerala Social Security Mission. The scheme acts as a relief measure for the Endosulfan victims in the state of Kerala.,"Bedridden, Educational Assistance, Endosulfan, Financial Assistance, Victim"
"Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)",Andaman and Nicobar Islands,"The objective of the scheme is to provide additional scholarship to the OBC students belonging to the non-creamy layer of Andaman & Nicobar Islands for pursuing higher education after Secondary (X)/Senior Secondary (XII), in government-recognized Polytechnic/ITI/College/University anywhere in India.","Higher Study, OBC, Scholarship, Student"
National Family Benefit Scheme - Uttar Pradesh,Uttar Pradesh,National Family Benefit Scheme or NBFS was launched by the Uttar Pradesh state government to provide financial assistance to those families that are unable to earn the necessities in life.,"Financial Assistance, National Family Benefit, Uttar Pradesh"
Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,Ministry Of Social Justice and Empowerment,The objective of the scheme is to provide financial assistance to the Economically Backward Class (EBC) students studying at the post-matriculation or post-secondary stage to enable them to complete their education. These scholarships shall be available for studies in India only.,"EBC, Economically Backward Class, Post Matric, Scholarship, Student"
Financial Assistance under Odisha Working Journalist Welfare Scheme,Odisha,"The scheme “Odisha Working Journalist Welfare Scheme” was launched by the Information & Public Relations Department, Government of Odisha. Under the Scheme, financial assistance is provided to the legal heir of the working journalist in case of his/her death, and in case of permanent incapacitation.","Death, Financial Assistance, Journalist, Permanent Incapacitation"
Savitribai Jyotirao Phule Fellowship For Single Girl Child,Ministry of Education,"Savitribai Jyotirao Phule Fellowship for Single Girl Child (SJSGC) is a Fellowship Scheme by the University Grants Commission (UGC), Department of Higher Education, for pursuing research work leading to the award of a Ph.D. degree. The target group of this scheme is the ‘single girl child'.","Fellowship, Girl Child, Ph.D."
Exposure Visits To The Assam Legislative Assembly,Assam,The Exposure Visits to the Assam Legislative Assembly scheme was introduced in the budget speech during the first Budget Session in July 2016. It aims to provide an opportunity for Political Science students in Assam to visit and observe the functioning of the Assam Legislative Assembly.,"10th, 12th, Assam Legislative Assembly, Learning, Student Visits"
